Package	Version
progressr	0.18.0
promises	1.5.0
ProtGenerics	1.42.0
ps	1.9.1
purrr	1.2.0
qap	0.1-2
quadprog	1.5-8
quantmod	0.4.28
quantreg	6.1
qvalue	2.42.0
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.13.0
R6	2.6.1
ragg	1.5.0
RANN	2.6.2
rappdirs	0.3.3
raster	3.6-32
RBGL	1.86.0
rbibutils	2.4
rcartocolor	2.1.2
RColorBrewer	1.1-3
Rcpp	1.1.0
RcppAnnoy	0.0.22
RcppArmadillo	15.2.2-1
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppProgress	0.4.2
RcppTOML	0.2.3
RCurl	1.98-1.17
Rdpack	2.6.4
readr	2.1.6
readxl	1.4.5
reformulas	0.4.2
registry	0.5-1
rematch	2.0.0
rematch2	2.1.2
remotes	2.5.0
reprex	2.1.1
reshape2	1.4.5
restfulr	0.0.16
reticulate	1.44.1
Rgraphviz	2.54.0
rhdf5	2.54.0
rhdf5filters	1.22.0
Rhdf5lib	1.32.0
Rhtslib	3.6.0
rjson	0.2.23
rlang	1.1.6
rmarkdown	2.30
rngtools	1.5.2
ROCR	1.0-11
rpart	4.1.24
rprojroot	2.1.1
Rsamtools	2.26.0
RSpectra	0.16-2
RSQLite	2.4.5
rstatix	0.7.3
rstudioapi	0.17.1
rtracklayer	1.70.0
Rtsne	0.17
RUnit	0.4.33.1
rvest	1.0.5
S4Arrays	1.10.0
S4Vectors	0.48.0
S7	0.2.1
sass	0.4.10
scales	1.4.0
scattermore	1.2
scatterpie	0.2.6
scatterplot3d	0.3-44
scGate	1.7.2
sctransform	0.4.2
selectr	0.5-0
Seqinfo	1.0.0
seriation	1.5.8
Seurat	5.3.1
SeuratObject	5.2.0
shape	1.4.6.1
shiny	1.11.1
shinyAce	0.4.4
shinyBS	0.61.1
shinydashboard	0.7.3
SingleCellExperiment	1.32.0
SingleR	2.12.0
sitmo	2.0.2
snow	0.4-4
sourcetools	0.1.7-1
sp	2.2-0
spam	2.11-1
SparseArray	1.10.3
SparseM	1.84-2
sparseMatrixStats	1.22.0
spatial	7.3-18
spatstat.data	3.1-9
spatstat.explore	3.6-0
spatstat.geom	3.6-1
spatstat.random	3.4-3
spatstat.sparse	3.1-0
spatstat.univar	3.1-5
spatstat.utils	3.2-0
splines	4.5.2
statmod	1.5.1
